=== CLI Inventory (316 commands; 211 ever invoked; 15 also thinking-tracked) ===
 invk   thnk  group         name                            description
-----  -----  ------------  ------------------------------  ----------------------------------------
    0      0  actor-regist   check                          Preview the capability verdict for (actor, event_type).
    0      0  admin          anti-slop                      Runtime verification that enforcers actually enforce.
    0      0  admin          check-correction-pairing       Surface compass observations that look like correction-responses
    0      0  admin          compress                       ELMO — compress the event ledger by archiving old noise events.
    0      0  admin          distill                        Distill raw knowledge into clean, actionable entries.
    0      0  admin          fix-encoding                   Repair mojibake in knowledge content via ftfy.
    0      0  admin          hooks                          Diagnose hook configuration — validate all .divineos.hook files.
    0      0  admin          inventory                      Walk the CLI command tree and report engagement per command.
    0      0  admin          knowledge-compress             Compress redundant knowledge into denser representations.
    0      0  admin          knowledge-hygiene              Audit and clean the knowledge store — demote noise, decay stale, flag orphans.
    0      0  admin          maintenance                    Run substrate maintenance — VACUUM, log cleanup, cache prune.
    0      0  admin          reset-template                 Reset this DivineOS install to a fresh-template state.
    0      0  admin          test-audit                     Audit test quality — classify tests by what they actually verify.
    0      0  advice         pending                        Show advice that needs outcome assessment.
    0      0  audit          list-clean                     List externally-audited-clean sessions.
    0      0  audit          rebind                         File a cosmetic-rebind round that carries the prior round's
    0      0  audit          tag-clean                      Tag a session as externally-audited-clean.
    0      0  audit          untag-clean                    Remove a clean-tag. Required reason writes an audit-trail event.
    0      0  bio            edit                           Open your $EDITOR with the current bio (or a starter template).
    0      0  claims         check                          Put my open claims in front of me to review — no auto-anything.
    0      0  claims         tiers                          Show the evidence tier definitions.
    0      0  commitment     fulfillment                    Commitment-fulfillment view: each commitment paired with its outcome.
    0      0  commitment     review                         Review all commitments at session end.
    0      0  commitment     timeline                       Unified commitment-collapse timeline across all stores.
    0      0  curiosity      answer                         Mark a curiosity as answered.
    0      0  curiosity      note                           Add a note to a curiosity.
    0      0  curiosity      shelve                         Put a curiosity to sleep — not abandoned, just not active.
    0      0  curiosity      wonder                         Auto-generate questions from knowledge gaps.
    0      0  decisions      link                           Link a decision to a knowledge entry.
    0      0  decisions      shifts                         Show only paradigm shifts — the decisions that changed everything.
    0      0  expect         close                          Close a prediction with the actual outcome.
    0      0  expect         predict                        Record a prediction.
    0      0  exploration    list-territories               List the locked set of valid territory tags.
    0      0  exploration    referenced                     Mark a surfaced exploration entry as referenced.
    0      0  exploration    related                        Find exploration entries whose Territory tags match the input.
    0      0  exploration    usage                          Show territory-match surface→reference ratio over a window.
    0      0  family-membe   letter                         Append a handoff letter to a future instance of this member.
    0      0  family-membe   respond                        Append a non-recognition (or other stance) response to a passage.
    0      0  family-queue   supersede                      File a corrected version of <old_id>. Original preserved with link.
